shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260111_001,PO_2026_01_001,PROD_GLASS_C3,1265,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_01,2026-01-11,2026-01-17,,0,PENDING
ship_20260111_002,PO_2026_01_002,PROD_GLASS_B2,1733,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_01,2026-01-02,2026-02-02,,0,IN_TRANSIT
ship_20260111_003,PO_2026_01_003,PROD_GLASS_C3,1317,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_01,2026-01-08,2026-01-24,,0,IN_TRANSIT
ship_20260111_004,PO_2026_01_004,PROD_GLASS_B2,764,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_01,2026-01-06,2026-01-21,2026-01-21,0,DELIVERED
ship_20260111_005,PO_2026_01_005,PROD_GLASS_B2,638,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_01,2026-01-09,2026-01-17,2026-01-17,0,DELIVERED
ship_20260111_006,PO_2026_01_006,PROD_GLASS_C3,1011,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-01-11,2026-02-02,,0,PENDING
ship_20260111_007,PO_2026_01_007,PROD_GLASS_A1,544,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-01-11,2026-01-20,,0,PENDING
ship_20260111_008,PO_2026_01_008,PROD_GLASS_A1,504,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_PACKAGING_01,2026-01-11,2026-01-21,,0,PENDING
ship_20260111_009,PO_2026_01_009,PROD_GLASS_C3,1490,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_METAL_FRAME_02,2026-01-05,2026-01-19,2026-01-19,0,DELIVERED
ship_20260111_010,PO_2026_01_010,PROD_GLASS_A1,802,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_02,2026-01-03,2026-01-20,2026-01-20,0,DELIVERED
