supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-03-31,2026-03-30,1,89.1
SUP_GLASS_RAW_02,Supplier_02,Logistics,2026-04-02,2026-04-02,0,92.6
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-03-31,2026-03-31,0,89.2
SUP_METAL_FRAME_02,Supplier_02,Components,2026-04-02,2026-04-02,0,85.5
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-04-02,2026-03-31,2,90.6
SUP_ADHESIVE_02,Supplier_02,Logistics,2026-03-29,2026-03-29,0,91.8
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-04-02,2026-04-02,0,81.0
SUP_LOGISTICS_02,Supplier_02,Logistics,2026-04-04,2026-04-02,2,88.9
SUP_LOGISTICS_03,Supplier_03,Components,2026-04-02,2026-04-02,0,92.2
SUP_PACKAGING_01,Supplier_01,Components,2026-03-30,2026-03-30,0,90.4
SUP_PACKAGING_02,Supplier_02,Components,2026-03-30,2026-03-30,0,89.1
