production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260213_001,2026-02-13,PLANT_EU_01,PROD_GLASS_B2,5753,MACHINE_LINE_04,850.0,5314.75,6
prod_20260213_002,2026-02-13,PLANT_EU_01,PROD_GLASS_A1,3482,MACHINE_LINE_02,866.0,3227.07,101
prod_20260213_003,2026-02-13,PLANT_APAC_01,PROD_GLASS_C3,5381,MACHINE_LINE_04,834.5,4776.57,26
prod_20260213_004,2026-02-13,PLANT_APAC_01,PROD_GLASS_A1,4063,MACHINE_LINE_02,825.4,3803.63,12
prod_20260213_005,2026-02-13,PLANT_US_01,PROD_GLASS_B2,6833,MACHINE_LINE_04,880.9,6016.17,6
prod_20260213_006,2026-02-13,PLANT_EU_01,PROD_GLASS_B2,5130,MACHINE_LINE_06,855.1,4732.09,14
prod_20260213_007,2026-02-13,PLANT_EU_01,PROD_GLASS_C3,3247,MACHINE_LINE_03,835.9,2880.56,3
prod_20260213_008,2026-02-13,PLANT_US_01,PROD_GLASS_C3,4069,MACHINE_LINE_07,844.9,3569.58,21
prod_20260213_009,2026-02-13,PLANT_EU_01,PROD_GLASS_A1,3497,MACHINE_LINE_01,844.8,3137.47,82
prod_20260213_010,2026-02-13,PLANT_US_01,PROD_GLASS_B2,6830,MACHINE_LINE_07,825.1,5722.71,13
prod_20260213_011,2026-02-13,PLANT_US_01,PROD_GLASS_A1,3759,MACHINE_LINE_03,849.9,3495.18,5
prod_20260213_012,2026-02-13,PLANT_EU_01,PROD_GLASS_C3,6255,MACHINE_LINE_02,828.1,5555.18,6
