shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260208_001,PO_2026_02_001,PROD_GLASS_B2,1117,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_01,2026-02-08,2026-02-28,,0,PENDING
ship_20260208_002,PO_2026_02_002,PROD_GLASS_B2,1297,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_01,2026-01-31,2026-02-18,2026-02-18,0,DELIVERED
ship_20260208_003,PO_2026_02_003,PROD_GLASS_B2,887,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_01,2026-02-04,2026-02-20,2026-02-20,0,DELIVERED
ship_20260208_004,PO_2026_02_004,PROD_GLASS_A1,1306,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_02,2026-02-06,2026-03-04,,0,IN_TRANSIT
ship_20260208_005,PO_2026_02_005,PROD_GLASS_C3,2141,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_03,2026-02-02,2026-02-23,2026-02-23,0,DELIVERED
ship_20260208_006,PO_2026_02_006,PROD_GLASS_C3,500,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_02,2026-02-01,2026-02-15,,0,IN_TRANSIT
ship_20260208_007,PO_2026_02_007,PROD_GLASS_A1,2166,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_02,2026-02-08,2026-02-16,,0,PENDING
ship_20260208_008,PO_2026_02_008,PROD_GLASS_C3,2103,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-02-08,2026-03-03,,0,PENDING
ship_20260208_009,PO_2026_02_009,PROD_GLASS_A1,2290,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_02,2026-02-06,2026-02-24,2026-02-24,0,DELIVERED
ship_20260208_010,PO_2026_02_010,PROD_GLASS_C3,2497,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_02,2026-02-03,2026-02-22,,0,IN_TRANSIT
