shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260113_001,PO_2026_01_001,PROD_GLASS_B2,924,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_02,2026-01-09,2026-02-05,2026-02-06,1,DELIVERED
ship_20260113_002,PO_2026_01_002,PROD_GLASS_A1,1481,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_02,2026-01-13,2026-01-20,,0,PENDING
ship_20260113_003,PO_2026_01_003,PROD_GLASS_C3,1395,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_02,2026-01-08,2026-01-19,2026-01-19,0,DELIVERED
ship_20260113_004,PO_2026_01_004,PROD_GLASS_B2,1635,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_01,2026-01-13,2026-01-20,,0,PENDING
ship_20260113_005,PO_2026_01_005,PROD_GLASS_C3,1027,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-01-13,2026-01-22,,0,PENDING
ship_20260113_006,PO_2026_01_006,PROD_GLASS_C3,751,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_METAL_FRAME_01,2026-01-13,2026-01-19,,0,PENDING
ship_20260113_007,PO_2026_01_007,PROD_GLASS_C3,1360,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-01-13,2026-01-19,,0,PENDING
ship_20260113_008,PO_2026_01_008,PROD_GLASS_B2,1138,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_03,2026-01-13,2026-01-22,,0,PENDING
ship_20260113_009,PO_2026_01_009,PROD_GLASS_B2,1595,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-01-10,2026-01-21,2026-01-21,0,DELIVERED
ship_20260113_010,PO_2026_01_010,PROD_GLASS_C3,1967,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_03,2026-01-06,2026-01-20,2026-01-20,0,DELIVERED
