shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260319_001,PO_2026_03_001,PROD_GLASS_B2,2446,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_PACKAGING_02,2026-03-13,2026-03-30,2026-03-30,0,DELIVERED
ship_20260319_002,PO_2026_03_002,PROD_GLASS_C3,1489,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_01,2026-03-19,2026-03-28,,0,PENDING
ship_20260319_003,PO_2026_03_003,PROD_GLASS_A1,1185,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_PACKAGING_02,2026-03-19,2026-03-27,,0,PENDING
ship_20260319_004,PO_2026_03_004,PROD_GLASS_C3,541,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_PACKAGING_01,2026-03-19,2026-03-30,,0,PENDING
ship_20260319_005,PO_2026_03_005,PROD_GLASS_A1,1948,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_GLASS_RAW_02,2026-03-15,2026-03-26,2026-03-30,4,DELIVERED
ship_20260319_006,PO_2026_03_006,PROD_GLASS_A1,1533,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_ADHESIVE_02,2026-03-12,2026-04-04,2026-04-04,0,DELIVERED
ship_20260319_007,PO_2026_03_007,PROD_GLASS_C3,1391,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_ADHESIVE_02,2026-03-19,2026-03-27,,0,PENDING
ship_20260319_008,PO_2026_03_008,PROD_GLASS_A1,692,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_03,2026-03-18,2026-03-28,,0,IN_TRANSIT
ship_20260319_009,PO_2026_03_009,PROD_GLASS_C3,1428,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_02,2026-03-15,2026-03-27,,0,IN_TRANSIT
ship_20260319_010,PO_2026_03_010,PROD_GLASS_C3,1417,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_ADHESIVE_02,2026-03-13,2026-03-30,2026-03-30,0,DELIVERED
